
% ----------------------------------------------------------------------
% Date             23-Aug-2022
% Computer type    GLNXA64
% Input file:      model.input.wc_spinless
% Level Lattice.ordering:  
%   1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  32  33  34  35
% Dmrg configuration: B_l * * B_r contracted to B_L B_R so below are the corresponding Hamiltonians
% E_tot is the total energy of the superblock calculated previously and H_LR = E_tot - H_L - H_R
% ----------------------------------------------------------------------

% Iter    HL                HL_rel       HR                  HR_rel     H_LR               H_LR_rel       E_TOT              E_TOT_rel
 A_in = [...
 56      0.00000790627205  1.36e-06      5.81355516809888  1.00e+00     -0.00001577525212 -2.71e-06      5.81354729911882  1.00e+00
 57      0.00000493848236  8.49e-07      5.81355221825372  1.00e+00     -0.00000985599278 -1.70e-06      5.81354730074330  1.00e+00
 58      0.00000313106045  5.39e-07      5.81355041852978  1.00e+00     -0.00000624820750 -1.07e-06      5.81354730138273  1.00e+00
 59      0.00000174835400  3.01e-07      5.81354904348317  1.00e+00     -0.00000348982654 -6.00e-07      5.81354730201063  1.00e+00
 60      0.00000102624890  1.77e-07      5.81354832413826  1.00e+00     -0.00000204814593 -3.52e-07      5.81354730224124  1.00e+00
 61      0.00000047125701  8.11e-08      5.81354777199145  1.00e+00     -0.00000094078534 -1.62e-07      5.81354730246311  1.00e+00
 62      0.00000024658981  4.24e-08      5.81354754809887  1.00e+00     -0.00000049215961 -8.47e-08      5.81354730252906  1.00e+00
 63      0.00000007336917  1.26e-08      5.81354737572753  1.00e+00     -0.00000014649358 -2.52e-08      5.81354730260312  1.00e+00
 64      0.00000024658983  4.24e-08      5.81354754809903  1.00e+00     -0.00000049215980 -8.47e-08      5.81354730252906  1.00e+00
 65      0.00000047126433  8.11e-08      5.81354777199415  1.00e+00     -0.00000094079536 -1.62e-07      5.81354730246312  1.00e+00
 66      0.00000102624321  1.77e-07      5.81354832413712  1.00e+00     -0.00000204813908 -3.52e-07      5.81354730224124  1.00e+00
 67      0.00000174834416  3.01e-07      5.81354904348375  1.00e+00     -0.00000348981728 -6.00e-07      5.81354730201063  1.00e+00
 68      0.00000313107617  5.39e-07      5.81355041855454  1.00e+00     -0.00000624824798 -1.07e-06      5.81354730138273  1.00e+00
 69      0.00000493845033  8.49e-07      5.81355221826746  1.00e+00     -0.00000985597448 -1.70e-06      5.81354730074330  1.00e+00
 70      0.00000790630217  1.36e-06      5.81355516813150  1.00e+00     -0.00001577531486 -2.71e-06      5.81354729911882  1.00e+00
 71      0.00001181305858  2.03e-06      5.81355905659574  1.00e+00     -0.00002357215553 -4.05e-06      5.81354729749879  1.00e+00
 72      0.00001774915717  3.05e-06      5.81356495170510  1.00e+00     -0.00003540749070 -6.09e-06      5.81354729337157  1.00e+00
 73      0.00002558172744  4.40e-06      5.81357274209704  1.00e+00     -0.00005103443216 -8.78e-06      5.81354728939232  1.00e+00
 74      0.00002944225788  5.06e-06      5.81357661074019  1.00e+00     -0.00005877099177 -1.01e-05      5.81354728200630  1.00e+00
 75      0.00003774655666  6.49e-06      5.81358485728464  1.00e+00     -0.00007532979054 -1.30e-05      5.81354727405076  1.00e+00
 76      0.00098891780862  1.70e-04      5.81449820380011  1.00e+00     -0.00194091223370 -3.34e-04      5.81354620937503  1.00e+00
 77      0.00212797123410  3.66e-04      5.81557513724815  1.00e+00     -0.00415790278408 -7.15e-04      5.81354520569817  1.00e+00
 78      0.07258693360804  1.25e-02      5.88174173090868  1.01e+00     -0.14091093207880 -2.42e-02      5.81341773243793  1.00e+00
