
% ----------------------------------------------------------------------
% Date             23-Aug-2022
% Computer type    GLNXA64
% Input file:      model.input.wc_spinless
% Level Lattice.ordering:  
%   1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  32  33  34  35
% Dmrg configuration: B_l * * B_r contracted to B_L B_R so below are the corresponding Hamiltonians
% E_tot is the total energy of the superblock calculated previously and H_LR = E_tot - H_L - H_R
% ----------------------------------------------------------------------

% Iter    HL                HL_rel       HR                  HR_rel     H_LR               H_LR_rel       E_TOT              E_TOT_rel
 A_in = [...
 55      0.00001473797082  2.82e-06      5.22780042504717  1.00e+00     -0.00002940077285 -5.62e-06      5.22778576224514  1.00e+00
 56      0.00000972019603  1.86e-06      5.22779543642791  1.00e+00     -0.00001939250499 -3.71e-06      5.22778576411895  1.00e+00
 57      0.00000615258594  1.18e-06      5.22779188965017  1.00e+00     -0.00001227619311 -2.35e-06      5.22778576604300  1.00e+00
 58      0.00000383397232  7.33e-07      5.22778958303614  1.00e+00     -0.00000765021186 -1.46e-06      5.22778576679659  1.00e+00
 59      0.00000217582412  4.16e-07      5.22778793382129  1.00e+00     -0.00000434210655 -8.31e-07      5.22778576753886  1.00e+00
 60      0.00000125030147  2.39e-07      5.22778701263578  1.00e+00     -0.00000249512493 -4.77e-07      5.22778576781232  1.00e+00
 61      0.00000058603200  1.12e-07      5.22778635168299  1.00e+00     -0.00000116964178 -2.24e-07      5.22778576807321  1.00e+00
 62      0.00000029825715  5.71e-08      5.22778606515058  1.00e+00     -0.00000059525580 -1.14e-07      5.22778576815193  1.00e+00
 63      0.00000009117141  1.74e-08      5.22778585907296  1.00e+00     -0.00000018200042 -3.48e-08      5.22778576824394  1.00e+00
 64      0.00000029825792  5.71e-08      5.22778606515082  1.00e+00     -0.00000059525681 -1.14e-07      5.22778576815193  1.00e+00
 65      0.00000058604782  1.12e-07      5.22778635168823  1.00e+00     -0.00000116966284 -2.24e-07      5.22778576807321  1.00e+00
 66      0.00000125030129  2.39e-07      5.22778701264002  1.00e+00     -0.00000249512899 -4.77e-07      5.22778576781232  1.00e+00
 67      0.00000217586356  4.16e-07      5.22778793385212  1.00e+00     -0.00000434217684 -8.31e-07      5.22778576753884  1.00e+00
 68      0.00000383397240  7.33e-07      5.22778958303303  1.00e+00     -0.00000765020884 -1.46e-06      5.22778576679659  1.00e+00
 69      0.00000615264258  1.18e-06      5.22779188968687  1.00e+00     -0.00001227628646 -2.35e-06      5.22778576604299  1.00e+00
 70      0.00000972019220  1.86e-06      5.22779543642264  1.00e+00     -0.00001939249589 -3.71e-06      5.22778576411895  1.00e+00
 71      0.00001473790378  2.82e-06      5.22780042505080  1.00e+00     -0.00002940070942 -5.62e-06      5.22778576224516  1.00e+00
 72      0.00002183133430  4.18e-06      5.22780747239245  1.00e+00     -0.00004354639767 -8.33e-06      5.22778575732908  1.00e+00
 73      0.00003185492288  6.09e-06      5.22781742908060  1.00e+00     -0.00006353120105 -1.22e-05      5.22778575280244  1.00e+00
 74      0.00003841232953  7.35e-06      5.22782394210718  1.00e+00     -0.00007661127296 -1.47e-05      5.22778574316375  1.00e+00
 75      0.00004924962303  9.42e-06      5.22783471967843  1.00e+00     -0.00009823431590 -1.88e-05      5.22778573498556  1.00e+00
 76      0.00078643561443  1.50e-04      5.22854912927242  1.00e+00     -0.00155064058121 -2.97e-04      5.22778492430565  1.00e+00
 77      0.00151169545992  2.89e-04      5.22925045654755  1.00e+00     -0.00297774393868 -5.70e-04      5.22778440806880  1.00e+00
 78      0.05522319261125  1.06e-02      5.28041951362286  1.01e+00     -0.10795576717504 -2.07e-02      5.22768693905906  1.00e+00
 79      0.10383174758156  1.99e-02      5.32577934855308  1.02e+00     -0.20197848338064 -3.86e-02      5.22763261275400  1.00e+00
 80      1.71859419445162  3.29e-01      6.88078318128412  1.32e+00     -3.37613669480194 -6.46e-01      5.22324068093379  1.00e+00
 81      3.26014624366960  6.24e-01      8.26012896442564  1.58e+00     -6.29922262750915 -1.21e+00      5.22105258058610  1.00e+00
 82     11.36753084634121  2.20e+00     16.55910522438604  3.20e+00    -22.75236463688647 -4.40e+00      5.17427143384078  1.00e+00
 83     19.32727375977372  3.75e+00     22.82263110060372  4.43e+00    -36.99773713853945 -7.18e+00      5.15216772183798  1.00e+00
 84     15.53239104950128  3.05e+00     19.52735425352286  3.84e+00    -29.97136900365609 -5.89e+00      5.08837629936806  1.00e+00
 85     11.29543648631077  2.24e+00     16.18023988953694  3.21e+00    -22.43567801392633 -4.45e+00      5.03999836192138  1.00e+00
 86      3.77149845308551  7.49e-01      8.77821158888599  1.74e+00     -7.51212405128957 -1.49e+00      5.03758599068193  1.00e+00
 87     -7.48459720316599 -1.49e+00      0.06490664644794  1.29e-02     12.45606652499153  2.47e+00      5.03637596827348  1.00e+00
 88     -3.57215220415178 -7.09e-01      1.61055499688942  3.20e-01      6.99749874840557  1.39e+00      5.03590154114321  1.00e+00
 89     -3.58712792850972 -7.12e-01      1.61211118275607  3.20e-01      7.01046083187187  1.39e+00      5.03544408611822  1.00e+00
 90      2.85282981595784  5.67e-01      2.60436484265825  5.17e-01     -0.42180286211935 -8.38e-02      5.03539179649674  1.00e+00
 91      2.56943042255409  5.10e-01      2.29453288346423  4.56e-01      0.17143648934328  3.40e-02      5.03539979536160  1.00e+00
 92      5.17894310774413  1.03e+00      0.45665444900442  9.07e-02     -0.60015604143975 -1.19e-01      5.03544151530880  1.00e+00
 93      5.12312807001272  1.02e+00      0.41208216297287  8.18e-02     -0.49976837904323 -9.93e-02      5.03544185394236  1.00e+00
 94      5.05933924976134  1.00e+00      0.01735953404672  3.45e-03     -0.04125475218784 -8.19e-03      5.03544403162022  1.00e+00
 95      5.12312899112709  1.02e+00      0.41208179450281  8.18e-02     -0.49976893168739 -9.93e-02      5.03544185394251  1.00e+00
 96      5.17894341055190  1.03e+00      0.45665378730499  9.07e-02     -0.60015568254824 -1.19e-01      5.03544151530865  1.00e+00
 97      2.56943375673730  5.10e-01      2.29453281622431  4.56e-01      0.17143322239995  3.40e-02      5.03539979536157  1.00e+00
 98      2.85283262771002  5.67e-01      2.60436426422322  5.17e-01     -0.42180509543650 -8.38e-02      5.03539179649674  1.00e+00
 99     -3.58712940201514 -7.12e-01      1.61211080447811  3.20e-01      7.01046268365517  1.39e+00      5.03544408611814  1.00e+00
100     -3.57215339421307 -7.09e-01      1.61055511762518  3.20e-01      6.99749981773097  1.39e+00      5.03590154114308  1.00e+00
101     -7.48460053953528 -1.49e+00      0.06490495629408  1.29e-02     12.45607155151451  2.47e+00      5.03637596827331  1.00e+00
102      3.77149748110182  7.49e-01      8.77820995535344  1.74e+00     -7.51212144577311 -1.49e+00      5.03758599068215  1.00e+00
103     11.29543710491388  2.24e+00     16.18024069364200  3.21e+00    -22.43567943663466 -4.45e+00      5.03999836192122  1.00e+00
104     15.53002383260034  3.05e+00     19.52345032787230  3.84e+00    -29.96510208165202 -5.89e+00      5.08837207882062  1.00e+00
105     19.31144303867229  3.75e+00     22.80968586566533  4.43e+00    -36.96894253308475 -7.18e+00      5.15218637125287  1.00e+00
106     11.34472127226550  2.19e+00     16.53696730082871  3.20e+00    -22.70746997246605 -4.39e+00      5.17421860062816  1.00e+00
107      3.25257999902935  6.23e-01      8.25275971346502  1.58e+00     -6.28443139213603 -1.20e+00      5.22090832035834  1.00e+00
108      1.71291630728730  3.28e-01      6.87501507505057  1.32e+00     -3.36483178247226 -6.44e-01      5.22309959986560  1.00e+00
109      0.10300486267189  1.97e-02      5.32483262649040  1.02e+00     -0.20036083614137 -3.83e-02      5.22747665302091  1.00e+00
110      0.05501089201695  1.05e-02      5.28005499540764  1.01e+00     -0.10753545218332 -2.06e-02      5.22753043524127  1.00e+00
111      0.00154073329983  2.95e-04      5.22912203145453  1.00e+00     -0.00303532509863 -5.81e-04      5.22762743965572  1.00e+00
112      0.00079220455086  1.52e-04      5.22839791157062  1.00e+00     -0.00156215015075 -2.99e-04      5.22762796597074  1.00e+00
113      0.00005349998151  1.02e-05      5.22768198554071  1.00e+00     -0.00010671010146 -2.04e-05      5.22762877542076  1.00e+00
114      0.00004112015076  7.87e-06      5.22766967278232  1.00e+00     -0.00008200917807 -1.57e-05      5.22762878375501  1.00e+00
115      0.00003440819332  6.58e-06      5.22766300366755  1.00e+00     -0.00006861855188 -1.31e-05      5.22762879330898  1.00e+00
116      0.00002314182228  4.43e-06      5.22765181601441  1.00e+00     -0.00004615964584 -8.83e-06      5.22762879819085  1.00e+00
117      0.00001589834921  3.04e-06      5.22764461878578  1.00e+00     -0.00003171401119 -6.07e-06      5.22762880312380  1.00e+00
118      0.00001027317001  1.97e-06      5.22763902766588  1.00e+00     -0.00002049566665 -3.92e-06      5.22762880516923  1.00e+00
119      0.00000662938259  1.27e-06      5.22763540468753  1.00e+00     -0.00001322696424 -2.53e-06      5.22762880710588  1.00e+00
120      0.00000403614308  7.72e-07      5.22763282547734  1.00e+00     -0.00000805368612 -1.54e-06      5.22762880793431  1.00e+00
121      0.00000234286737  4.48e-07      5.22763114113646  1.00e+00     -0.00000467531872 -8.94e-07      5.22762880868510  1.00e+00
122      0.00000130909238  2.50e-07      5.22763011240761  1.00e+00     -0.00000261251394 -5.00e-07      5.22762880898605  1.00e+00
123      0.00000063069627  1.21e-07      5.22762943730459  1.00e+00     -0.00000125875011 -2.41e-07      5.22762880925075  1.00e+00
124      0.00000030957742  5.92e-08      5.22762911763120  1.00e+00     -0.00000061787118 -1.18e-07      5.22762880933744  1.00e+00
125      0.00000009808748  1.88e-08      5.22762890714784  1.00e+00     -0.00000019580305 -3.75e-08      5.22762880943226  1.00e+00
126      0.00000030957770  5.92e-08      5.22762911763133  1.00e+00     -0.00000061787158 -1.18e-07      5.22762880933744  1.00e+00
127      0.00000063070491  1.21e-07      5.22762943730790  1.00e+00     -0.00000125876206 -2.41e-07      5.22762880925075  1.00e+00
128      0.00000130909917  2.50e-07      5.22763011241210  1.00e+00     -0.00000261252522 -5.00e-07      5.22762880898605  1.00e+00
129      0.00000234291386  4.48e-07      5.22763114117203  1.00e+00     -0.00000467540080 -8.94e-07      5.22762880868509  1.00e+00
130      0.00000403606625  7.72e-07      5.22763282546869  1.00e+00     -0.00000805360061 -1.54e-06      5.22762880793432  1.00e+00
131      0.00000662933262  1.27e-06      5.22763540468421  1.00e+00     -0.00001322691095 -2.53e-06      5.22762880710587  1.00e+00
132      0.00001027319665  1.97e-06      5.22763902770533  1.00e+00     -0.00002049573275 -3.92e-06      5.22762880516924  1.00e+00
133      0.00001589847379  3.04e-06      5.22764461891298  1.00e+00     -0.00003171426297 -6.07e-06      5.22762880312379  1.00e+00
134      0.00002314186579  4.43e-06      5.22765181605643  1.00e+00     -0.00004615973136 -8.83e-06      5.22762879819086  1.00e+00
135      0.00003440778788  6.58e-06      5.22766300337483  1.00e+00     -0.00006861785271 -1.31e-05      5.22762879331001  1.00e+00
136      0.00004112019940  7.87e-06      5.22766967283136  1.00e+00     -0.00008200927500 -1.57e-05      5.22762878375576  1.00e+00
137      0.00005349963360  1.02e-05      5.22768198525951  1.00e+00     -0.00010670947272 -2.04e-05      5.22762877542038  1.00e+00
138      0.00079219689431  1.52e-04      5.22839790653373  1.00e+00     -0.00156213744918 -2.99e-04      5.22762796597886  1.00e+00
139      0.00154072781518  2.95e-04      5.22912202735444  1.00e+00     -0.00303531532811 -5.81e-04      5.22762743984151  1.00e+00
140      0.05501092135010  1.05e-02      5.28005503320350  1.01e+00     -0.10753551919009 -2.06e-02      5.22753043536351  1.00e+00
141      0.10300503920684  1.97e-02      5.32483278359777  1.02e+00     -0.20036116957800 -3.83e-02      5.22747665322661  1.00e+00
142      1.71291634059494  3.28e-01      6.87501517229220  1.32e+00     -3.36483191272766 -6.44e-01      5.22309960015949  1.00e+00
143      3.25258009667563  6.23e-01      8.25275972936354  1.58e+00     -6.28443150542973 -1.20e+00      5.22090832060944  1.00e+00
144     11.34472167065141  2.19e+00     16.53696822083077  3.20e+00    -22.70747129495825 -4.39e+00      5.17421859652393  1.00e+00
145     19.31145077845518  3.75e+00     22.80969255060471  4.43e+00    -36.96895697817693 -7.18e+00      5.15218635088296  1.00e+00
146     15.52981983652561  3.05e+00     19.52326130288475  3.84e+00    -29.96470908973326 -5.89e+00      5.08837204967710  1.00e+00
147     11.29552348106195  2.24e+00     16.18032800183747  3.21e+00    -22.43585313343247 -4.45e+00      5.03999834946694  1.00e+00
148      3.77129863399645  7.49e-01      8.77810847948765  1.74e+00     -7.51182082890060 -1.49e+00      5.03758628458350  1.00e+00
149     -7.48458579490713 -1.49e+00      0.06484950330004  1.29e-02     12.45611272549060  2.47e+00      5.03637643388352  1.00e+00
150     -3.57206359837092 -7.09e-01      1.61058841960851  3.20e-01      6.99737741908052  1.39e+00      5.03590224031812  1.00e+00
151     -3.58664246839180 -7.12e-01      1.61237519837542  3.20e-01      7.00971165623978  1.39e+00      5.03544438622341  1.00e+00
152      2.85305687665772  5.67e-01      2.60446525271401  5.17e-01     -0.42212987327003 -8.38e-02      5.03539225610169  1.00e+00
153      2.56965400346987  5.10e-01      2.29462601772949  4.56e-01      0.17112023242225  3.40e-02      5.03540025362161  1.00e+00
154      5.17908835229031  1.03e+00      0.45675826826715  9.07e-02     -0.60040453588806 -1.19e-01      5.03544208466940  1.00e+00
155      5.12324095495743  1.02e+00      0.41216772200339  8.19e-02     -0.49996625394906 -9.93e-02      5.03544242301176  1.00e+00
156      5.05938517693606  1.00e+00      0.01738587584156  3.45e-03     -0.04132644664907 -8.21e-03      5.03544460612854  1.00e+00
157      5.12324116062912  1.02e+00      0.41216741118935  8.19e-02     -0.49996614880675 -9.93e-02      5.03544242301172  1.00e+00
158      5.17908848018184  1.03e+00      0.45675789634570  9.07e-02     -0.60040429185823 -1.19e-01      5.03544208466931  1.00e+00
159      2.56965591757856  5.10e-01      2.29462575543720  4.56e-01      0.17111858060592  3.40e-02      5.03540025362168  1.00e+00
160      2.85305886800269  5.67e-01      2.60446467441725  5.17e-01     -0.42213128631828 -8.38e-02      5.03539225610166  1.00e+00
161     -3.58664380404830 -7.12e-01      1.61237502457378  3.20e-01      7.00971316569776  1.39e+00      5.03544438622324  1.00e+00
162     -3.57206472052111 -7.09e-01      1.61058875793534  3.20e-01      6.99737820290390  1.39e+00      5.03590224031813  1.00e+00
163     -7.48458912822793 -1.49e+00      0.06484779394714  1.29e-02     12.45611776816409  2.47e+00      5.03637643388330  1.00e+00
164      3.77129766338307  7.49e-01      8.77810686858967  1.74e+00     -7.51181824738920 -1.49e+00      5.03758628458354  1.00e+00
165     11.29552404779621  2.24e+00     16.18032869027460  3.21e+00    -22.43585438860396 -4.45e+00      5.03999834946686  1.00e+00
166     15.53155872829812  3.05e+00     19.52526268236324  3.84e+00    -29.96844638209360 -5.89e+00      5.08837502856776  1.00e+00
167     19.31732871093055  3.75e+00     22.81932287001151  4.43e+00    -36.98446085851804 -7.18e+00      5.15219072242402  1.00e+00
168     11.36637465248031  2.20e+00     16.56056820791324  3.20e+00    -22.75268996764691 -4.40e+00      5.17425289274663  1.00e+00
169      3.25031522598580  6.23e-01      8.25136443365982  1.58e+00     -6.28069730062069 -1.20e+00      5.22098235902493  1.00e+00
170      1.71784725405175  3.29e-01      6.88023991329905  1.32e+00     -3.37493205494454 -6.46e-01      5.22315511240626  1.00e+00
171      0.10309367130686  1.97e-02      5.32500913733847  1.02e+00     -0.20056059478320 -3.84e-02      5.22754221386213  1.00e+00
172      0.05478237183368  1.05e-02      5.27990793497428  1.01e+00     -0.10709430746783 -2.05e-02      5.22759599934013  1.00e+00
